Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
6/19/14,Home,2014-06-19T00:00:00-07:00,2014-06-19T09:29:26-07:00,34166,37.8651493645,-122.282029798,Home,
6/19/14,Place in Berkeley,2014-06-19T09:38:07-07:00,2014-06-19T11:17:26-07:00,5959,37.8712424585,-122.2671398111,,
6/19/14,School of Information,2014-06-19T11:27:13-07:00,2014-06-19T14:58:04-07:00,12651,37.87135752021174,-122.2584125748343,College Technology Building,http://foursquare.com/venue/4f184661e4b0b34551aaa7cb
6/19/14,Siemens Berkeley,2014-06-19T15:02:47-07:00,2014-06-19T15:38:30-07:00,2143,37.8704362297,-122.2662692272,Work,
6/19/14,Place in Berkeley,2014-06-19T15:42:32-07:00,2014-06-19T17:04:00-07:00,4888,37.8704544627,-122.2665492027,,
6/19/14,Home,2014-06-19T17:11:19-07:00,2014-06-19T17:42:45-07:00,1886,37.8651493645,-122.282029798,Home,
6/19/14,Place in Oakland,2014-06-19T18:01:25-07:00,2014-06-19T18:10:37-07:00,552,37.8286088259,-122.2673142227,,
6/19/14,Place in Coliseum,2014-06-19T18:26:47-07:00,2014-06-19T18:30:18-07:00,211,37.7536472526,-122.1968811684,,
6/19/14,Place in O.co Coliseum,2014-06-19T18:37:32-07:00,2014-06-19T22:03:01-07:00,12329,37.7523909901,-122.199755007,,
6/19/14,Place in Oakland,2014-06-19T22:07:44-07:00,2014-06-19T22:22:14-07:00,870,37.754121949,-122.1976710534,,
6/19/14,Home,2014-06-19T22:58:43-07:00,2014-06-19T23:02:20-07:00,217,37.8651493645,-122.282029798,Home,
