Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
6/23/14,Home,2014-06-23T00:26:38-07:00,2014-06-23T19:54:07-07:00,70049,37.8651493645,-122.282029798,Home,
6/23/14,"Place in University of California, Berkeley",2014-06-23T20:01:07-07:00,2014-06-23T22:00:54-07:00,7187,37.8682806478,-122.2633484756,,
6/23/14,Place in Berkeley,2014-06-23T22:11:21-07:00,2014-06-23T22:55:11-07:00,2630,37.8682496604,-122.2581981938,,
6/23/14,Place in Berkeley,2014-06-23T23:05:01-07:00,2014-06-23T23:07:20-07:00,139,37.866895011,-122.2657204197,,
6/23/14,Siemens Berkeley,2014-06-23T23:13:29-07:00,2014-06-23T23:56:39-07:00,2590,37.8704362297,-122.2662692272,Work,
6/24/14,Home,2014-06-24T00:04:22-07:00,2014-06-24T08:42:47-07:00,31105,37.8651493645,-122.282029798,Home,
6/24/14,Sutardja Dai Hall - CITRIS Building,2014-06-24T09:04:20-07:00,2014-06-24T10:51:16-07:00,6416,37.87481528371463,-122.2583994269371,College Technology Building,http://foursquare.com/venue/4a68c693f964a520fcca1fe3
6/24/14,"Place in University of California, Berkeley",2014-06-24T10:54:35-07:00,2014-06-24T12:13:38-07:00,4743,37.8729939627,-122.258653389,,
6/24/14,Place in Berkeley,2014-06-24T12:19:06-07:00,2014-06-24T13:09:33-07:00,3027,37.8736376027,-122.2687092934,,
6/24/14,Home,2014-06-24T13:16:51-07:00,2014-06-24T19:54:29-07:00,23858,37.8651493645,-122.282029798,Home,
6/24/14,Place in Mountain View,2014-06-24T20:44:10-07:00,2014-06-24T21:05:40-07:00,1290,37.4032050638,-122.0791090625,,
6/24/14,Place in Mountain View,2014-06-24T21:15:01-07:00,2014-06-25T00:00:00-07:00,9899,37.4033396014,-122.0854525385,,
6/25/14,Place in Mountain View,2014-06-25T00:00:00-07:00,2014-06-25T00:01:20-07:00,80,37.4033396014,-122.0854525385,,
6/25/14,Home,2014-06-25T01:08:56-07:00,2014-06-25T16:59:51-07:00,57055,37.8651493645,-122.282029798,Home,
6/25/14,Place in Berkeley,2014-06-25T17:08:07-07:00,2014-06-25T17:19:16-07:00,669,37.8717346586,-122.2731595893,,
6/25/14,Home,2014-06-25T17:25:09-07:00,2014-06-26T00:00:00-07:00,23691,37.8651493645,-122.282029798,Home,
6/26/14,Home,2014-06-26T00:00:00-07:00,2014-06-26T08:25:59-07:00,30359,37.8651493645,-122.282029798,Home,
6/26/14,Place in Lilac Lane,2014-06-26T09:51:40-07:00,2014-06-26T14:45:35-07:00,17635,37.40300648,-122.0855962362,,
6/26/14,Place in Kress Building,2014-06-26T16:19:57-07:00,2014-06-26T17:24:42-07:00,3885,37.8712960974,-122.2685174344,,
6/26/14,Home,2014-06-26T17:33:26-07:00,2014-06-26T19:25:58-07:00,6752,37.8651493645,-122.282029798,Home,
6/26/14,School of Information,2014-06-26T19:33:37-07:00,2014-06-26T19:48:28-07:00,891,37.87135752021174,-122.2584125748343,College Technology Building,http://foursquare.com/venue/4f184661e4b0b34551aaa7cb
6/26/14,Place in Haas Pavilion,2014-06-26T19:54:19-07:00,2014-06-26T21:32:13-07:00,5874,37.8693466448,-122.2620834554,,
6/26/14,Place in Mountain View,2014-06-26T22:32:28-07:00,2014-06-27T00:00:00-07:00,5252,37.4033396014,-122.0854525385,,
6/27/14,Place in Mountain View,2014-06-27T00:00:00-07:00,2014-06-27T10:26:42-07:00,37602,37.4033396014,-122.0854525385,,
6/27/14,Place in Palo Alto,2014-06-27T10:42:03-07:00,2014-06-27T12:42:25-07:00,7222,37.4398523503,-122.1614046654,,
6/27/14,Place in Escondido Village,2014-06-27T12:48:21-07:00,2014-06-27T13:52:35-07:00,3854,37.4279476099,-122.1448239382,,
6/27/14,Place in Mountain View,2014-06-27T14:05:21-07:00,2014-06-27T15:42:30-07:00,5829,37.3916893714,-122.0946349615,,
6/27/14,Place in Lilac Lane,2014-06-27T15:59:10-07:00,2014-06-27T17:48:38-07:00,6568,37.40300648,-122.0855962362,,
6/27/14,Place in Downtown North,2014-06-27T18:04:59-07:00,2014-06-27T21:02:40-07:00,10661,37.4452840534,-122.164071541,,
6/27/14,Place in University South,2014-06-27T21:07:19-07:00,2014-06-27T21:17:13-07:00,594,37.4437291259,-122.1615855569,,
6/28/14,Home,2014-06-28T01:26:46-07:00,2014-06-28T15:35:17-07:00,50911,37.8651493645,-122.282029798,Home,
6/28/14,Home,2014-06-28T16:30:26-07:00,2014-06-29T00:00:00-07:00,26974,37.403213609,-122.0854344467,Home,
6/29/14,Home,2014-06-29T00:00:00-07:00,2014-06-29T16:05:33-07:00,57933,37.403213609,-122.0854344467,Home,
6/29/14,Place in Mountain View,2014-06-29T16:22:13-07:00,2014-06-29T16:31:13-07:00,540,37.403213609,-122.0854344467,,
6/29/14,Place in Mountain View,2014-06-29T16:50:51-07:00,2014-06-29T17:31:33-07:00,2442,37.4209035824,-122.0958944795,,
6/29/14,Place in Berkeley Bowl East,2014-06-29T18:14:08-07:00,2014-06-29T18:49:31-07:00,2123,37.8570077158,-122.2674757688,,
6/29/14,Home,2014-06-29T19:07:01-07:00,2014-06-30T00:00:00-07:00,17579,37.8651493645,-122.282029798,Home,
